,Titles,Platform,Format,Owned Status,Playing Status,Replayable,Entry Number,Dupe Check,Gamestop,Amazon,Ebay,hltbTitle,hltbURL,TitleMatch,mainlength
72,The Order,PS4,Blu Ray,Sold,Beaten,False,73,False,,,,A Clockwork Ley-Line: The Borderline of Dusk,https://howlongtobeat.com/game.php?id=51574,False,URL missing
330,rain,PS3,Digital,Own,Not Played,,331,False,,,,A-Train,https://howlongtobeat.com/game.php?id=148,False,URL missing
439,Back to the Future,PC,Steam,Own,Not Played,,441,False,,,,Back to the Future (1989),https://howlongtobeat.com/game.php?id=774,False,URL missing
754,Batman: A Telltale Series,PS4,Digital,Own,Not Played,,756,False,,,,Batman: The Enemy Within,https://howlongtobeat.com/game.php?id=47529,False,URL missing
697,Broken Sword 5,PS Vita,Digital,Own,Not Played,,699,False,,,,Broken Sword 2.5: The Return of the Templars,https://howlongtobeat.com/game.php?id=1332,False,URL missing
151,Code: Realize,PS3/PS Vita,Digital,Own,Not Played,,152,False,,,,Code: Realize - Bouquet of Rainbows,https://howlongtobeat.com/game.php?id=54795,False,URL missing
729,Final Fantasy Dissidia,PSP,ISO,Own,Not Played,,731,False,,,,Dissidia 012 Final Fantasy,https://howlongtobeat.com/game.php?id=2628,False,URL missing
730,Final Fantasy Dissidia 2,PSP,ISO,Own,Not Played,,732,False,,,,Dissidia 012 Final Fantasy,https://howlongtobeat.com/game.php?id=2628,False,URL missing
558,The Elder Scrolls V Skyrim,PC,Downloaded,Own,Played,,560,False,,,,Enderal: The Shards of Order,https://howlongtobeat.com/game.php?id=39396,False,URL missing
526,Final Fantasy X X-2 HD Remaster,PC,Downloaded,Own,Played,,528,False,,,,Final Fantasy X-2 HD Remaster,https://howlongtobeat.com/game.php?id=17544,False,URL missing
68,Galak-Z,PS4,Digital,Own,Not Played,,69,False,,,,Galak-Z: The Dimensional,https://howlongtobeat.com/game.php?id=27393,False,URL missing
80,PAYDAY,PS3,Digital,Own,Pick-Up,True,81,False,,,,Goat Simulator: PAYDAY,https://howlongtobeat.com/game.php?id=42487,False,URL missing
467,Hector,PC,Steam,Own,Not Played,,469,False,,,,Hector: Badge of Carnage - Episode 1: We Negotiate with Terrorists,https://howlongtobeat.com/game.php?id=4382,False,URL missing
236,Sonic the Hedgehog,PS3,Digital,Own,Not Played,,237,False,,,,Knuckles the Echidna in Sonic the Hedgehog 2,https://howlongtobeat.com/game.php?id=14468,False,URL missing
237,Sonic the Hedgehog 2,PS3,Digital,Own,Not Played,,238,False,,,,Knuckles the Echidna in Sonic the Hedgehog 2,https://howlongtobeat.com/game.php?id=14468,False,URL missing
127,Pokemon Y,3DS,Cartridge,Own,Played,True,128,False,,,,Learn with Pokémon: Typing Adventure,https://howlongtobeat.com/game.php?id=5204,False,URL missing
39,History Legends of War Patton,PS3/PS Vita,Digital,Own,Not Played,,40,False,,,,Legends of War: Patton's Campaign,https://howlongtobeat.com/game.php?id=21630,False,URL missing
566,Letter Quest Remastered,PS4/PS3/PS Vita,Digital,Own,Not Played,,568,False,,,,Letter Quest: Grimm's Journey,https://howlongtobeat.com/game.php?id=20848,False,URL missing
675,Level 22,PS Vita,Digital,Own,Not Played,,677,False,,,,Level 22: Gary's Misadventures,https://howlongtobeat.com/game.php?id=17434,False,URL missing
770,Mad Max,PS4,Digital,Own,Not Played,,772,False,,,,Mad Max (1990),https://howlongtobeat.com/game.php?id=21318,False,URL missing
471,Medal of Honor,PC,Steam,Own,Not Played,,473,False,,,,Medal of Honor (1999),https://howlongtobeat.com/game.php?id=5775,False,URL missing
100,Metal Gear Solid 2,PS3,CD,Own,Beaten,False,101,False,,,,Metal Gear 2: Solid Snake,https://howlongtobeat.com/game.php?id=5902,False,URL missing
410,MotorStorm RC,PS3/PS Vita,Digital,Own,Beaten,False,411,False,,,,MotorStorm: Arctic Edge,https://howlongtobeat.com/game.php?id=6237,False,URL missing
76,NBA Jam,PS3,Digital,Own,Not Played,,77,False,,,,NBA Jam (1993),https://howlongtobeat.com/game.php?id=6436,False,URL missing
336,Oddworld: New 'n' Tasty,PS4/PS3,Digital,Own,Not Played,,337,False,,,,Oddworld: New 'n' Tasty - Alf's Escape,https://howlongtobeat.com/game.php?id=29738,False,URL missing
283,Pinball Arcade,PS3/PS Vita,Digital,Own,Not Played,,284,False,,,,Pinball Inside: A VR Arcade Game,https://howlongtobeat.com/game.php?id=51124,False,URL missing
126,Super Smash Bros,3DS,Cartridge,Own,Not Played,,127,False,,,,Project M,https://howlongtobeat.com/game.php?id=23219,False,URL missing
789,Resident Evil 0,PC,Steam,Own,Not Played,,791,False,,,,Resident Evil,https://howlongtobeat.com/game.php?id=7716,False,URL missing
776,Resident Evil 7,PC,Downloaded,Own,Playing,,778,False,,,,Resident Evil 7 Teaser: Beginning Hour,https://howlongtobeat.com/game.php?id=38818,False,URL missing
665,Resident Evil HD REMASTER,PC,Digital,Own,Not Played,,667,False,,,,Resident Evil Zero: HD Remaster,https://howlongtobeat.com/game.php?id=33676,False,URL missing
488,Sam & Max,PC,Steam,Own,Not Played,,490,False,,,,Sam & Max 101: Culture Shock,https://howlongtobeat.com/game.php?id=8095,False,URL missing
547,Sid Meiers Civilization V,PC,Downloaded,Own,Not Played,,549,False,,,,Sid Meier's Civilization,https://howlongtobeat.com/game.php?id=8498,False,URL missing
609,Tenchu Stealth Assassins,PS1,CD,Own,Not Played,,611,False,,,,Tenchu 2: Birth of the Stealth Assassins,https://howlongtobeat.com/game.php?id=9686,False,URL missing
656,That's You,PS4,Digital,Own,Not Played,,658,False,,,,That's You!,https://howlongtobeat.com/game.php?id=47054,False,URL missing
495,The Walking Dead: Season 1,PC,Steam,Own,Beaten,False,497,False,,,,The Walking Dead,https://howlongtobeat.com/game.php?id=10250,False,URL missing
109,Tiger Woods PGA Tour,PS3,CD,Own,Pick-Up,True,110,False,,,,Tiger Woods 99 PGA Tour Golf,https://howlongtobeat.com/game.php?id=36126,False,URL missing
496,Wallace & Gromit,PC,Steam,Own,Not Played,,498,False,,,,Wallace & Gromit Ep 1: Fright of the Bumblebees,https://howlongtobeat.com/game.php?id=11010,False,URL missing
519,Zero Escape Zero Time Dilemma,PC,Downloaded,Own,Not Played,,521,False,,,,Zero Time Dilemma,https://howlongtobeat.com/game.php?id=33283,False,URL missing
